AVGACURATE,LIGHTVEH,AVGSPEED,LONGVEH,REC_TIME,HUGEVEH,MIDVEH,AVGHEADDIST,MINIVEH,AVGFLOW
9,633,58.5,2282,"18-5月 -18 12.00.00.000000000 上午",514,720,0,5772,9921
19.2,902,27.9,5000,"19-5月 -18 12.00.00.000000000 上午",1044,949,0,11847,19742
19.7,1032,40.4,5052,"20-5月 -18 12.00.00.000000000 上午",1062,1116,0,9794,18056
17.8,1217,39,4667,"21-5月 -18 12.00.00.000000000 上午",1225,1290,0,10945,19344
15.4,1196,50.5,3948,"22-5月 -18 12.00.00.000000000 上午",1370,1365,0,12907,20786
14.1,740,27.3,3366,"23-5月 -18 12.00.00.000000000 上午",1016,861,0,8747,14730
8.4,884,73.5,2385,"24-5月 -18 12.00.00.000000000 上午",569,998,0,7967,12803
10.9,788,49.4,2221,"25-5月 -18 12.00.00.000000000 上午",716,918,0,7761,12404
19.4,2338,51.1,6658,"26-5月 -18 12.00.00.000000000 上午",1987,2423,0,23180,36586
27.7,389,18.8,601,"23-3月 -17 12.00.00.000000000 上午",218,347,0,4690,6245
24.2,1339,34.1,2401,"24-3月 -17 12.00.00.000000000 上午",932,1612,0,12220,18504
14.2,1504,50.6,2528,"25-3月 -17 12.00.00.000000000 上午",1047,1808,0,9654,16541
13.4,1255,42.8,2194,"26-3月 -17 12.00.00.000000000 上午",876,1410,0,7429,13164
8.1,821,32.6,1490,"27-3月 -17 12.00.00.000000000 上午",559,973,0,4690,8533
10.9,1150,37.7,1931,"28-3月 -17 12.00.00.000000000 上午",729,1284,0,7029,12123
12.7,1121,35,1970,"29-3月 -17 12.00.00.000000000 上午",756,1300,0,8070,13217
17.3,1135,31.1,1981,"30-3月 -17 12.00.00.000000000 上午",788,1391,0,9188,14483
15.8,869,30.6,1587,"31-3月 -17 12.00.00.000000000 上午",581,937,0,6840,10814
14.4,1618,50.9,2645,"01-4月 -17 12.00.00.000000000 上午",980,1812,0,10251,17306
12.7,1025,30.7,1885,"02-4月 -17 12.00.00.000000000 上午",660,1198,0,7553,12321
10.3,995,36.3,1863,"03-4月 -17 12.00.00.000000000 上午",773,1189,0,6744,11564
13.6,958,30.1,1650,"04-4月 -17 12.00.00.000000000 上午",583,1106,0,7097,11394
9.4,799,32.5,1507,"05-4月 -17 12.00.00.000000000 上午",562,956,0,5303,9127
7.2,318,17.5,742,"06-4月 -17 12.00.00.000000000 上午",238,350,0,1931,3579
7,617,23.6,1085,"07-4月 -17 12.00.00.000000000 上午",393,643,0,3724,6462
8,764,30.5,1393,"08-4月 -17 12.00.00.000000000 上午",471,962,0,5020,8610
15.1,1632,40.4,2537,"09-4月 -17 12.00.00.000000000 上午",996,1744,0,11515,18424
20.9,2184,55.1,3510,"10-4月 -17 12.00.00.000000000 上午",1425,2428,0,15361,24908
16,988,32.1,1861,"11-4月 -17 12.00.00.000000000 上午",736,1137,0,8564,13286
15.3,1326,47.1,2556,"12-4月 -17 12.00.00.000000000 上午",948,1572,0,8617,15019
8.8,630,35.7,1413,"13-4月 -17 12.00.00.000000000 上午",490,780,0,3535,6848
5.7,281,18.4,731,"14-4月 -17 12.00.00.000000000 上午",200,300,0,1521,3033
10,855,39.2,1681,"15-4月 -17 12.00.00.000000000 上午",587,1005,0,4645,8773
8,770,38,1547,"16-4月 -17 12.00.00.000000000 上午",541,892,0,4137,7887
16.8,1293,39.3,2246,"17-4月 -17 12.00.00.000000000 上午",785,1440,0,8659,14423
14.6,904,29.2,1748,"18-4月 -17 12.00.00.000000000 上午",641,1006,0,6836,11135
23.8,1345,34.9,2397,"19-4月 -17 12.00.00.000000000 上午",895,1481,0,12491,18609
24,949,23,1779,"20-4月 -17 12.00.00.000000000 上午",618,990,0,9802,14138
19.4,1234,31,2013,"21-4月 -17 12.00.00.000000000 上午",776,1395,0,10213,15631
22.8,1118,26.4,1995,"22-4月 -17 12.00.00.000000000 上午",757,1197,0,10224,15291
7.9,110,9.3,398,"23-4月 -17 12.00.00.000000000 上午",95,151,0,1085,1839
7.3,294,20.6,743,"24-4月 -17 12.00.00.000000000 上午",258,387,0,1907,3589
5.4,276,16.1,639,"25-4月 -17 12.00.00.000000000 上午",198,310,0,1696,3119
5.6,304,17.1,705,"26-4月 -17 12.00.00.000000000 上午",264,388,0,1854,3515
15.4,1004,35.3,1828,"27-4月 -17 12.00.00.000000000 上午",692,1164,0,7098,11786
13.2,819,29.2,1574,"28-4月 -17 12.00.00.000000000 上午",496,827,0,5442,9158
10.4,853,31.8,1492,"29-4月 -17 12.00.00.000000000 上午",563,943,0,4557,8408
10.2,982,30,1547,"30-4月 -17 12.00.00.000000000 上午",603,1168,0,6545,10845
11.1,876,32.1,1626,"01-5月 -17 12.00.00.000000000 上午",632,1041,0,5631,9806
13,872,27.4,1505,"02-5月 -17 12.00.00.000000000 上午",566,970,0,5957,9870
21.4,1065,33.4,2108,"03-5月 -17 12.00.00.000000000 上午",693,1289,0,10088,15243
10,267,15.8,690,"04-5月 -17 12.00.00.000000000 上午",237,332,0,2632,4158
7.4,501,21.6,1022,"05-5月 -17 12.00.00.000000000 上午",343,625,0,2546,5037
8.8,597,28,1205,"06-5月 -17 12.00.00.000000000 上午",429,681,0,3437,6349
10.9,1101,48.4,2066,"07-5月 -17 12.00.00.000000000 上午",760,1304,0,6693,11924
11.8,1302,55.6,2463,"08-5月 -17 12.00.00.000000000 上午",945,1637,0,7276,13623
6.6,380,22.3,922,"09-5月 -17 12.00.00.000000000 上午",303,479,0,2247,4331
6.4,279,13.5,653,"10-5月 -17 12.00.00.000000000 上午",205,342,0,1985,3464
12.2,609,23.9,1335,"11-5月 -17 12.00.00.000000000 上午",422,763,0,5232,8361
12.2,669,23.5,1204,"12-5月 -17 12.00.00.000000000 上午",450,676,0,5188,8187
1.7,104,10.8,251,"21-9月 -17 12.00.00.000000000 上午",69,123,0,450,997
3.9,259,24,607,"22-9月 -17 12.00.00.000000000 上午",214,355,0,1181,2616
7.9,110,9.3,398,"23-9月 -17 12.00.00.000000000 上午",95,151,0,1085,1839
7.3,294,20.6,743,"24-9月 -17 12.00.00.000000000 上午",258,387,0,1907,3589
5.4,276,16.1,639,"25-9月 -17 12.00.00.000000000 上午",198,310,0,1696,3119
5.6,304,17.1,705,"26-9月 -17 12.00.00.000000000 上午",264,388,0,1854,3515
15.8,1058,36.1,1951,"27-9月 -17 12.00.00.000000000 上午",727,1229,0,7587,12552
13.2,819,29.2,1574,"28-9月 -17 12.00.00.000000000 上午",496,827,0,5442,9158
10.7,855,33.9,1509,"29-9月 -17 12.00.00.000000000 上午",567,959,0,4646,8536
5.3,413,25.3,793,"30-9月 -17 12.00.00.000000000 上午",294,451,0,2010,3961
5.3,355,37.2,776,"01-10月-17 12.00.00.000000000 上午",224,402,0,1848,3605
2.9,263,31.3,713,"02-10月-17 12.00.00.000000000 上午",189,334,0,1392,2891
3.4,221,29.2,667,"03-10月-17 12.00.00.000000000 上午",173,305,0,1316,2682
3.4,334,28.4,751,"04-10月-17 12.00.00.000000000 上午",219,364,0,1747,3415
5.4,467,36,931,"05-10月-17 12.00.00.000000000 上午",294,534,0,1977,4203
4,438,32,874,"06-10月-17 12.00.00.000000000 上午",319,542,0,1940,4113
4.6,457,32.5,978,"07-10月-17 12.00.00.000000000 上午",362,599,0,2115,4511
6.1,522,27.7,1095,"08-10月-17 12.00.00.000000000 上午",348,646,0,2951,5562
8.6,839,45.6,1790,"09-10月-17 12.00.00.000000000 上午",608,1040,0,4487,8764
11,673,30.2,1432,"10-10月-17 12.00.00.000000000 上午",521,849,0,4763,8238
7.6,536,28,1357,"11-10月-17 12.00.00.000000000 上午",392,767,0,3056,6108
11.4,710,20.5,1385,"12-10月-17 12.00.00.000000000 上午",503,810,0,5885,9293
19,1720,60.4,2875,"13-10月-17 12.00.00.000000000 上午",1207,2077,0,12197,20076
15.9,2053,73.8,3035,"14-10月-17 12.00.00.000000000 上午",1374,2429,0,12981,21872
13,2041,79.3,2887,"15-10月-17 12.00.00.000000000 上午",1305,2377,0,12653,21263
7.8,610,43.3,1423,"16-10月-17 12.00.00.000000000 上午",475,706,0,2844,6058
7.3,685,51.8,1502,"17-10月-17 12.00.00.000000000 上午",495,884,0,3198,6764
5,630,52.7,1068,"18-10月-17 12.00.00.000000000 上午",424,752,0,2701,5575
8.6,1211,75.5,1957,"19-10月-17 12.00.00.000000000 上午",841,1401,0,5959,11369
8.8,1255,77.8,2048,"20-10月-17 12.00.00.000000000 上午",823,1598,0,6317,12041
